station fi la h
BAIA 47°39'06.42469" 23°33'27.75998" 270.857
BASV 48°26'51.93076" 18°55'15.64259" 621.395
BBYS 48°45'06.47617" 19°09'03.59454" 487.429
BOR1 52°16'37.03423" 17°04'24.42724" 124.354
BREZ 48°48'37.80568" 19°38'16.82292" 564.775
CFRM 49°41'05.25415" 18°21'11.45796" 373.590
GANP 49°02'04.95876" 20°19'22.55259" 746.016
GKU4 48°09'26.28463" 17°10'18.82525" 195.466
GOPE 49°54'49.32658" 14°47'08.22545" 592.615
GRAZ 47°04'01.65785" 15°29'36.51458" 538.301
JABO 48°29'08.34539" 17°39'54.08724" 231.260
JOZE 52°05'50.18003" 21°01'53.52310" 141.421
KAME 48°56'04.82412" 21°59'38.82450" 216.401
KOSE 48°45'11.17510" 21°14'42.38217" 291.858
KRAW 50°03'58.10486" 19°55'13.70777" 267.117
KROS 49°40'43.48206" 21°46'28.71341" 347.522
KUKE 48°40'58.92054" 21°16'08.51484" 273.958
KUZA 49°13'38.39044" 18°44'20.10811" 390.566
LIE1 49°22'09.15950" 19°40'41.99208" 737.121
MOP2 48°22'21.69658" 17°16'25.78785" 581.109
MOPI 48°22'21.80796" 17°16'25.94657" 579.007
MSTB 48°34'11.66604" 16°36'35.26383" 248.374
NWTG 49°28'54.41491" 20°01'57.00817" 646.698
OROS 46°33'18.80179" 20°40'16.84389" 146.014
PEMB 48°37'48.63966" 18°20'26.35979" 254.113
PENC 47°47'22.56132" 19°16'53.48838" 291.739
PRES 48°58'33.61245" 21°15'52.95186" 293.929
RISA 48°22'25.93591" 20°00'20.49725" 261.235
SKDS 47°59'45.03387" 17°36'26.23440" 170.847
SKGA 48°11'23.84433" 17°43'37.46949" 175.247
SKLM 49°04'46.80097" 19°37'06.45607" 641.663
SKLV 48°12'48.43020" 18°36'20.06766" 212.326
SKMT 49°04'56.18971" 18°56'01.24822" 444.721
SKNR 48°18'48.67565" 18°05'02.70840" 211.188
SKNZ 47°59'22.61391" 18°10'12.49835" 174.044
SKPB 49°06'55.84824" 18°26'39.87512" 342.668
SKRS 48°23'06.76406" 20°01'26.96793" 266.930
SKRV 48°39'30.37000" 20°31'43.53404" 351.465
SKSE 48°40'48.04561" 17°22'23.23633" 258.731
SKSK 49°18'29.53033" 21°34'15.25101" 299.490
SKSL 49°18'03.28830" 20°41'11.68830" 606.129
SKSV 48°59'25.23744" 22°09'14.93652" 274.260
SKTN 48°53'20.37677" 18°01'58.61145" 263.411
SKVK 48°12'31.62800" 19°20'56.43567" 282.591
SKVT 48°53'12.41620" 21°41'07.26111" 174.960
SKZV 48°34'28.64908" 19°07'21.30687" 358.473
SULP 49°50'08.10942" 24°00'52.14009" 370.513
TELG 48°50'54.28699" 20°11'15.67612" 950.324
TREB 48°37'10.06437" 21°43'07.07459" 170.421
TUBO 49°12'21.21021" 16°35'34.20400" 324.277
USDL 49°25'58.46020" 22°35'08.76506" 529.731
UZHL 48°37'55.11004" 22°17'51.41125" 232.005
WIEN 48°13'07.87336" 16°22'23.08099" 243.780                                        
